season,position,num_players,total_fumbles,total_interceptions,total_turnovers,rank
2024,DE,182,563,68,631,1
2024,CB,205,174,328,502,2
2024,S,138,171,321,492,3
2023,S,157,216,361,577,1
2023,CB,204,196,364,560,2
2023,DE,179,455,89,544,3
2022,S,156,190,377,567,1
2022,DE,191,466,93,559,2
2022,CB,206,150,360,510,3
2021,DE,176,556,68,624,1
2021,CB,213,151,387,538,2
2021,S,169,136,355,491,3
2020,CB,214,176,389,565,1
2020,DE,160,438,77,515,2
2020,S,153,158,295,453,3
2019,DE,148,574,74,648,1
2019,CB,196,169,360,529,2
2019,S,162,177,319,496,3
