player_name,position,team,season,fumble_forced,interception,total_turnovers
Fred Warner,LB,SF,2024,6,2,8
Aidan Hutchinson,DE,DET,2024,8,0,8
Sam Hubbard,DE,CIN,2024,5,2,7
Cobie Durant,CB,LA,2024,5,2,7
Kaden Elliss,LB,ATL,2024,5,1,6
Myles Garrett,DE,CLE,2023,8,0,8
T.J. Watt,DE,PIT,2023,8,0,8
Rashan Gary,DE,GB,2023,8,0,8
Malcolm Koonce,DE,LV,2023,8,0,8
Bradley Chubb,DE,MIA,2023,7,0,7
Trey Hendrickson,DE,CIN,2022,11,0,11
Michael Danna,DE,KC,2022,8,0,8
Haason Reddick,DE,PHI,2022,7,0,7
Jerry Hughes,DE,HOU,2022,4,2,6
Matt Judon,DE,NE,2022,5,1,6
Chandler Jones,DE,ARI,2021,8,0,8
Randy Gregory,DE,DAL,2021,5,2,7
Trevis Gipson,DE,CHI,2021,7,0,7
Josh Norman,CB,SF,2021,4,2,6
Damien Wilson,LB,JAX,2021,4,2,6
Haason Reddick,DE,ARI,2020,12,0,12
Randy Gregory,DE,DAL,2020,8,0,8
Chris Jones,DT,KC,2020,8,0,8
Clelin Ferrell,DE,LV,2020,8,0,8
Tarell Basham,DE,NYJ,2020,7,0,7
