season,team,total_turnovers,rank,SB Appearance
2024,PHI,122,1,Yes
2024,BUF,122,1,No
2023,SF,115,1,Yes
2023,PIT,108,2,No
2023,BAL,108,2,No
2022,SF,116,1,No
2022,PHI,113,2,Yes
2021,CIN,120,1,Yes
2021,DAL,116,2,No
2020,TB,124,1,Yes
2020,BAL,107,2,No
2019,SF,145,1,Yes
2019,PIT,129,2,No
2018,KC,138,1,No
2018,CHI,138,1,No
2017,JAX,140,1,No
2017,PHI,125,2,Yes
2016,LV,112,1,No
2016,ARI,110,2,No
2015,CAR,173,1,Yes
2015,DEN,129,2,Yes
2014,DAL,119,1,No
2014,CAR,119,1,No
2013,SEA,174,1,Yes
2013,KC,112,2,No
2012,NE,145,1,No
2012,CHI,128,2,No
